ID,duration,wav,start,stop,spk_id
11--train-00062-of-00803_1202,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/11/train-00062-of-00803_1202.wav,0,48000,11
11--train-00063-of-00803_132,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/11/train-00063-of-00803_132.wav,0,48000,11
11--train-00063-of-00803_34,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/11/train-00063-of-00803_34.wav,0,48000,11
11--train-00063-of-00803_354,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/11/train-00063-of-00803_354.wav,0,48000,11
11--train-00063-of-00803_446,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/11/train-00063-of-00803_446.wav,0,48000,11
11--train-00063-of-00803_431,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/11/train-00063-of-00803_431.wav,0,48000,11
11--train-00062-of-00803_907,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/11/train-00062-of-00803_907.wav,0,48000,11
11--train-00063-of-00803_10,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/11/train-00063-of-00803_10.wav,0,48000,11
11--train-00063-of-00803_159,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/11/train-00063-of-00803_159.wav,0,48000,11
11--train-00062-of-00803_915,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/11/train-00062-of-00803_915.wav,0,48000,11
11--train-00062-of-00803_1097,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/11/train-00062-of-00803_1097.wav,0,48000,11
11--train-00062-of-00803_942,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/11/train-00062-of-00803_942.wav,0,48000,11
11--train-00063-of-00803_400,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/11/train-00063-of-00803_400.wav,0,48000,11
11--train-00062-of-00803_916,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/11/train-00062-of-00803_916.wav,0,48000,11
11--train-00062-of-00803_1124,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/11/train-00062-of-00803_1124.wav,0,48000,11
11--train-00062-of-00803_1086,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/11/train-00062-of-00803_1086.wav,0,48000,11
11--train-00062-of-00803_807,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/11/train-00062-of-00803_807.wav,0,48000,11
